target_format,syntax,line_item_structure,invoice_id,seller_id,buyer_id,issue_date,currency,subtotal,tax_amount,total_amount,seller_vat,buyer_vat,EndpointID,line_items,credit_note_status,VATID,line_items.invoice_lines,UEN,payment_reference,CompanyID,delivery_date,RegistrationNo
F_XREC_UBL,UBL,flat,INV-TST-00011,BERN-2401,HOFF-1535,2024-12-18,EUR,5459.09,545.91,6005.0,FRVN138422938,DE268081743,FRVN138422938,[],SUPPORTED,,,,,,,
F_XREC_UBL,UBL,flat,INV-TST-00012,VAN-9969,SCHM-8568,2024-03-12,EUR,1166.68,70.0,1236.68,BE0669582863,DE229602172,BE0669582863,[],SUPPORTED,,,,,,,
F_XREC_UBL,UBL,flat,INV-TST-00013,MART-8225,MÜLL-6852,2024-12-09,EUR,19393.11,1939.31,21332.42,FRQV113513908,MISSING,FRQV113513908,[],SUPPORTED,,,,,,,
F_PINT_SG,UBL,flat,INV-TST-00014,WIRA-4761,TEMA-4945,2025-06-21,SGD,20347.92,2034.79,22382.71,MY40215399221,MISSING,,[],SUPPORTED,,,MY40215399221,,,,
F_PEPPOL,UBL,nested,INV-TST-00015,DE-1973,CLAE-4519,2025-12-16,EUR,22929.84,2063.69,24993.53,NL621201208B64,BE0933629720,,,SUPPORTED,,"[{'line': {'id': '1', 'item_details': {'description': 'Whiteboard Magnetic 120x90cm', 'price': 0, 'qty': 1}}}, {'line': {'id': '2', 'item_details': {'description': 'Ergonomic Office Chair Pro', 'price': 0, 'qty': 1}}}]",,PAY-673126-00015,NL621201208B64,,
F_XREC_UBL,UBL,flat,INV-TST-00016,BERN-6319,KRÜG-1393,2024-09-27,EUR,926.59,92.66,1019.25,FRV0398952296,DE517414407,FRV0398952296,[],SUPPORTED,,,,,,,
F_PINT_SG,UBL,flat,INV-TST-00017,SELL-77849,MERI-9337,2024-02-27,SGD,121694.03,30423.51,152117.54,NO390372688MVA,SG361085517C,,[],SUPPORTED,,,NO390372688MVA,,,,
F_PEPPOL,UBL,nested,INV-TST-00018,DUPO-4620,SMIT-5543,2024-03-04,EUR,36622.01,3662.2,40284.21,FRW2344128256,NL624612417B77,,"[{'line_id': 1, 'description': 'Assembly Group 1', 'quantity': 1, 'unit': 'EA', 'unit_price': 19060.89, 'line_total': 19060.89, 'sub_items': [{'line_id': '1.1', 'description': 'Desk Organizer Set 5-Piece', 'quantity': 33, 'unit': 'EA', 'unit_price': 30.24, 'line_total': 997.92}, {'line_id': '1.2', 'description': 'Desk Organizer Set 5-Piece', 'quantity': 42, 'unit': 'EA', 'unit_price': 28.91, 'line_total': 1214.22}, {'line_id': '1.3', 'description': 'LED Desk Lamp Adjustable', 'quantity': 3, 'unit': 'EA', 'unit_price': 42.29, 'line_total': 126.87}, {'line_id': '1.4', 'description': 'Ergonomic Office Chair Pro', 'quantity': 42, 'unit': 'EA', 'unit_price': 398.14, 'line_total': 16721.88}]}, {'line_id': 2, 'description': 'Assembly Group 2', 'quantity': 1, 'unit': 'EA', 'unit_price': 13347.34, 'line_total': 13347.34, 'sub_items': [{'line_id': '2.1', 'description': 'Document Shredder Cross-Cut', 'quantity': 19, 'unit': 'EA', 'unit_price': 175.39, 'line_total': 3332.41}, {'line_id': '2.2', 'description': 'LED Desk Lamp Adjustable', 'quantity': 13, 'unit': 'EA', 'unit_price': 46.14, 'line_total': 599.82}, {'line_id': '2.3', 'description': 'Whiteboard Magnetic 120x90cm', 'quantity': 29, 'unit': 'EA', 'unit_price': 84.42, 'line_total': 2448.18}, {'line_id': '2.4', 'description': 'Filing Cabinet 4-Drawer Steel', 'quantity': 23, 'unit': 'EA', 'unit_price': 302.91, 'line_total': 6966.93}]}, {'line_id': 3, 'description': 'LED Desk Lamp Adjustable', 'quantity': 71, 'unit': 'EA', 'unit_price': 52.23, 'line_total': 3708.33}, {'line_id': 4, 'description': 'Whiteboard Magnetic 120x90cm', 'quantity': 5, 'unit': 'EA', 'unit_price': 101.09, 'line_total': 505.45}]",SUPPORTED,,,,PAY-959552-00018,FRW2344128256,,
F_XREC_UBL,UBL,flat,INV-TST-00019,PETI-5264,HOFF-9783,2025-09-16,EUR,20469.29,2046.93,22516.22,2731589,DE731425145,2731589,[],SUPPORTED,,,,,,,
F_FACTURX,CII,nested,INV-TST-00020,WEBE-7832,PETI-7889,2024-08-02,EUR,64770.09,4533.91,69304.0,DE909731948,FRZ1738790129,,,SUPPORTED,DE909731948,"[{'line': {'id': '1', 'item_details': {'description': 'Welding Wire 1.2mm 15kg', 'price': 0, 'qty': 1}}}, {'line': {'id': '2', 'item_details': {'description': 'CNC Machining Service', 'price': 0, 'qty': 1}}}, {'line': {'id': '3', 'item_details': {'description': 'Welding Wire 1.2mm 15kg', 'price': 0, 'qty': 1}}}, {'line': {'id': '4', 'item_details': {'description': 'Steel Sheet 2mm 1000x2000mm', 'price': 0, 'qty': 1}}}, {'line': {'id': '5', 'item_details': {'description': 'Precision Ground Shaft 25mm', 'price': 0, 'qty': 1}}}, {'line': {'id': '6', 'item_details': {'description': 'Ball Bearing SKF 6205-2RS', 'price': 0, 'qty': 1}}}, {'line': {'id': '7', 'item_details': {'description': 'Stainless Steel Bolt M12x60', 'price': 0, 'qty': 1}}}, {'line': {'id': '8', 'item_details': {'description': 'Ball Bearing SKF 6205-2RS', 'price': 0, 'qty': 1}}}, {'line': {'id': '9', 'item_details': {'description': 'Steel Sheet 2mm 1000x2000mm', 'price': 0, 'qty': 1}}}, {'line': {'id': '10', 'item_details': {'description': 'Stainless Steel Bolt M12x60', 'price': 0, 'qty': 1}}}, {'line': {'id': '11', 'item_details': {'description': 'Steel Sheet 2mm 1000x2000mm', 'price': 0, 'qty': 1}}}, {'line': {'id': '12', 'item_details': {'description': 'CNC Machining Service', 'price': 0, 'qty': 1}}}, {'line': {'id': '13', 'item_details': {'description': 'Steel Sheet 2mm 1000x2000mm', 'price': 0, 'qty': 1}}}, {'line': {'id': '14', 'item_details': {'description': 'Precision Ground Shaft 25mm', 'price': 0, 'qty': 1}}}, {'line': {'id': '15', 'item_details': {'description': 'Pneumatic Actuator DA-63', 'price': 0, 'qty': 1}}}, {'line': {'id': '16', 'item_details': {'description': 'Ball Bearing SKF 6205-2RS', 'price': 0, 'qty': 1}}}, {'line': {'id': '17', 'item_details': {'description': 'Steel Sheet 2mm 1000x2000mm', 'price': 0, 'qty': 1}}}, {'line': {'id': '18', 'item_details': {'description': 'Ball Bearing SKF 6205-2RS', 'price': 0, 'qty': 1}}}, {'line': {'id': '19', 'item_details': {'description': 'Industrial Gasket Set DN50', 'price': 0, 'qty': 1}}}, {'line': {'id': '20', 'item_details': {'description': 'Aluminum Extrusion Profile 40x40', 'price': 0, 'qty': 1}}}]",,,,,
F_PEPPOL,UBL,nested,INV-TST-00021,MORE-5902,DIJK-1296,2025-11-12,EUR,25854.43,5170.89,31025.32,FRR0984746835,NL927773177B85,,"[{'line_id': 1, 'description': 'Hydraulic Cylinder HZ-400', 'quantity': 69, 'unit': 'EA', 'unit_price': 218.08, 'line_total': 15047.52}, {'line_id': 2, 'description': 'Welding Wire 1.2mm 15kg', 'quantity': 57, 'unit': 'EA', 'unit_price': 56.46, 'line_total': 3218.22}, {'line_id': 3, 'description': 'Precision Ground Shaft 25mm', 'quantity': 83, 'unit': 'MTR', 'unit_price': 91.43, 'line_total': 7588.69}]",SUPPORTED,,,,PAY-766599-00021,FRR0984746835,,
F_XREC_UBL,UBL,flat,INV-TST-00022,MERI-8418,SCHN-9551,2025-05-05,EUR,4870.32,0.0,4870.32,SG431920836M,DE362199880,SG431920836M,[],SUPPORTED,,,,,,,
F_FACTURX,CII,nested,INV-TST-00023,BAKK-8132,MORE-1058,2024-05-31,EUR,12911.82,2711.48,15623.3,NL380189014B41,FRN3355585706,,,SUPPORTED,NL380189014B41,"[{'line': {'id': '1', 'item_details': {'description': 'A4 Paper Premium 80gsm 500-Sheet', 'price': 0, 'qty': 1}}}, {'line': {'id': '2', 'item_details': {'description': 'Toner Cartridge Black HP 26A', 'price': 0, 'qty': 1}}}, {'line': {'id': '3', 'item_details': {'description': 'LED Desk Lamp Adjustable', 'price': 0, 'qty': 1}}}, {'line': {'id': '4', 'item_details': {'description': 'A4 Paper Premium 80gsm 500-Sheet', 'price': 0, 'qty': 1}}}, {'line': {'id': '5', 'item_details': {'description': 'Desk Organizer Set 5-Piece', 'price': 0, 'qty': 1}}}]",,,,,
F_PEPPOL,UBL,nested,INV-TST-00024,BAUE-3319,BAKK-9913,2024-12-12,EUR,4778.42,334.49,5112.91,DE553177380,NL612956390B83,,"[{'line_id': 1, 'description': 'Capacitor 100uF 50V MLCC', 'quantity': 49, 'unit': 'EA', 'unit_price': 0.15, 'line_total': 7.35}, {'line_id': 2, 'description': 'PCB Assembly 4-Layer', 'quantity': 17, 'unit': 'EA', 'unit_price': 8.78, 'line_total': 149.26}, {'line_id': 3, 'description': 'Assembly Group 3', 'quantity': 1, 'unit': 'EA', 'unit_price': 3538.8, 'line_total': 3538.8, 'sub_items': [{'line_id': '3.1', 'description': 'Heat Sink Aluminum 40x40x20', 'quantity': 30, 'unit': 'EA', 'unit_price': 3.96, 'line_total': 118.8}, {'line_id': '3.2', 'description': 'Power Supply Module 24V/10A', 'quantity': 48, 'unit': 'EA', 'unit_price': 71.25, 'line_total': 3420.0}]}, {'line_id': 4, 'description': 'Assembly Group 4', 'quantity': 1, 'unit': 'EA', 'unit_price': 1083.01, 'line_total': 1083.01, 'sub_items': [{'line_id': '4.1', 'description': 'Capacitor 100uF 50V MLCC', 'quantity': 39, 'unit': 'EA', 'unit_price': 0.13, 'line_total': 5.07}, {'line_id': '4.2', 'description': 'Wire Harness Custom 12-Pin', 'quantity': 50, 'unit': 'EA', 'unit_price': 12.62, 'line_total': 631.0}, {'line_id': '4.3', 'description': 'Connector USB-C Female PCB', 'quantity': 18, 'unit': 'EA', 'unit_price': 1.29, 'line_total': 23.22}, {'line_id': '4.4', 'description': 'Microcontroller STM32F407', 'quantity': 44, 'unit': 'EA', 'unit_price': 9.63, 'line_total': 423.72}]}]",SUPPORTED,,,,PAY-696740-00024,DE553177380,,
F_PEPPOL,UBL,nested,INV-TST-00025,DIJK-5974,PEET-6830,2024-04-30,EUR,183493.6,38533.66,222027.26,NL344844751B37,BE0139372595,,,SUPPORTED,,"[{'line': {'id': '1', 'item_details': {'description': 'Network Switch 48-Port PoE+', 'price': 0, 'qty': 1}}}, {'line': {'id': '2', 'item_details': {'description': 'IT Consultation', 'price': 0, 'qty': 1}}}, {'line': {'id': '3', 'item_details': {'description': 'CAT6A Cable 305m Box', 'price': 0, 'qty': 1}}}, {'line': {'id': '4', 'item_details': {'description': 'IT Consultation', 'price': 0, 'qty': 1}}}, {'line': {'id': '5', 'item_details': {'description': 'Assembly Group 5', 'price': 0, 'qty': 1}}}, {'line': {'id': '6', 'item_details': {'description': 'Software License Enterprise Annual', 'price': 0, 'qty': 1}}}, {'line': {'id': '7', 'item_details': {'description': 'Network Switch 48-Port PoE+', 'price': 0, 'qty': 1}}}, {'line': {'id': '8', 'item_details': {'description': 'Data Migration Service', 'price': 0, 'qty': 1}}}]",,PAY-344976-00025,NL344844751B37,,
F_XREC_UBL,UBL,flat,INV-TST-00026,SELL-74975,FISC-2890,2025-07-19,EUR,141783.04,8506.98,150290.02,SE934207968134,DE958478631,SE934207968134,[],SUPPORTED,,,,,,,
F_FACTURX,CII,nested,INV-TST-00027,FISC-9889,MORE-5859,2025-04-21,EUR,8959.42,1702.29,10661.71,DE706295333,FRHH867679028,,,SUPPORTED,DE706295333,"[{'line': {'id': '1', 'item_details': {'description': 'Precision Ground Shaft 25mm', 'price': 0, 'qty': 1}}}, {'line': {'id': '2', 'item_details': {'description': 'Steel Sheet 2mm 1000x2000mm', 'price': 0, 'qty': 1}}}]",,,,,
F_PINT_SG,UBL,flat,INV-TST-00028,HARM-8173,ORCH-2250,2024-02-06,SGD,11262.21,0.0,11262.21,MY14668441293,SG930231593X,,[],SUPPORTED,,,MY14668441293,,,,
F_XREC_UBL,UBL,flat,INV-TST-00029,PERD-3771,WEBE-1624,2025-11-06,EUR,6539.09,653.91,7193.0,MY0358944175,DE891289429,MY0358944175,[],SUPPORTED,,,,,,,
F_PEPPOL,UBL,nested,INV-TST-00030,SCHN-9789,BAKK-4820,2024-01-05,EUR,4130.28,289.12,4419.4,DE018333194,NL021530662B66,,"[{'line_id': 1, 'description': 'PCB Assembly 4-Layer', 'quantity': 68, 'unit': 'EA', 'unit_price': 7.57, 'line_total': 514.76}, {'line_id': 2, 'description': 'Capacitor 100uF 50V MLCC', 'quantity': 61, 'unit': 'EA', 'unit_price': 0.14, 'line_total': 8.54}, {'line_id': 3, 'description': 'Assembly Group 3', 'quantity': 1, 'unit': 'EA', 'unit_price': 1828.78, 'line_total': 1828.78, 'sub_items': [{'line_id': '3.1', 'description': 'LCD Display Module 7-inch', 'quantity': 39, 'unit': 'EA', 'unit_price': 41.01, 'line_total': 1599.39}, {'line_id': '3.2', 'description': 'EMI Shielding Gasket 100mm', 'quantity': 30, 'unit': 'EA', 'unit_price': 7.55, 'line_total': 226.5}, {'line_id': '3.3', 'description': 'Capacitor 100uF 50V MLCC', 'quantity': 17, 'unit': 'EA', 'unit_price': 0.17, 'line_total': 2.89}]}, {'line_id': 4, 'description': 'Assembly Group 4', 'quantity': 1, 'unit': 'EA', 'unit_price': 1740.58, 'line_total': 1740.58, 'sub_items': [{'line_id': '4.1', 'description': 'LCD Display Module 7-inch', 'quantity': 22, 'unit': 'EA', 'unit_price': 45.5, 'line_total': 1001.0}, {'line_id': '4.2', 'description': 'Wire Harness Custom 12-Pin', 'quantity': 5, 'unit': 'EA', 'unit_price': 15.82, 'line_total': 79.1}, {'line_id': '4.3', 'description': 'Wire Harness Custom 12-Pin', 'quantity': 35, 'unit': 'EA', 'unit_price': 17.92, 'line_total': 627.2}, {'line_id': '4.4', 'description': 'Connector USB-C Female PCB', 'quantity': 32, 'unit': 'EA', 'unit_price': 1.04, 'line_total': 33.28}]}, {'line_id': 5, 'description': 'Connector USB-C Female PCB', 'quantity': 33, 'unit': 'EA', 'unit_price': 1.14, 'line_total': 37.62}]",SUPPORTED,,,,PAY-165008-00030,DE018333194,,
F_PEPPOL,UBL,nested,INV-TST-00031,WEBE-5740,VISS-3818,2025-08-29,EUR,5117.94,972.41,6090.35,DE030539420,NL483692637B00,,"[{'line_id': 1, 'description': 'Assembly Group 1', 'quantity': 1, 'unit': 'EA', 'unit_price': 1320.0, 'line_total': 1320.0, 'sub_items': [{'line_id': '1.1', 'description': 'Heat Sink Aluminum 40x40x20', 'quantity': 23, 'unit': 'EA', 'unit_price': 3.89, 'line_total': 89.47}, {'line_id': '1.2', 'description': 'Power Supply Module 24V/10A', 'quantity': 20, 'unit': 'EA', 'unit_price': 57.62, 'line_total': 1152.4}, {'line_id': '1.3', 'description': 'Connector USB-C Female PCB', 'quantity': 48, 'unit': 'EA', 'unit_price': 1.42, 'line_total': 68.16}, {'line_id': '1.4', 'description': 'PCB Assembly 4-Layer', 'quantity': 1, 'unit': 'EA', 'unit_price': 9.97, 'line_total': 9.97}]}, {'line_id': 2, 'description': 'Thermal Paste Arctic MX-6 4g', 'quantity': 59, 'unit': 'EA', 'unit_price': 11.31, 'line_total': 667.29}, {'line_id': 3, 'description': 'Assembly Group 3', 'quantity': 1, 'unit': 'EA', 'unit_price': 419.8, 'line_total': 419.8, 'sub_items': [{'line_id': '3.1', 'description': 'Heat Sink Aluminum 40x40x20', 'quantity': 38, 'unit': 'EA', 'unit_price': 3.48, 'line_total': 132.24}, {'line_id': '3.2', 'description': 'Microcontroller STM32F407', 'quantity': 29, 'unit': 'EA', 'unit_price': 9.74, 'line_total': 282.46}, {'line_id': '3.3', 'description': 'Capacitor 100uF 50V MLCC', 'quantity': 34, 'unit': 'EA', 'unit_price': 0.15, 'line_total': 5.1}]}, {'line_id': 4, 'description': 'LCD Display Module 7-inch', 'quantity': 3, 'unit': 'EA', 'unit_price': 45.92, 'line_total': 137.76}, {'line_id': 5, 'description': 'LCD Display Module 7-inch', 'quantity': 49, 'unit': 'EA', 'unit_price': 39.37, 'line_total': 1929.13}, {'line_id': 6, 'description': 'Assembly Group 6', 'quantity': 1, 'unit': 'EA', 'unit_price': 607.51, 'line_total': 607.51, 'sub_items': [{'line_id': '6.1', 'description': 'Heat Sink Aluminum 40x40x20', 'quantity': 17, 'unit': 'EA', 'unit_price': 3.87, 'line_total': 65.79}, {'line_id': '6.2', 'description': 'Heat Sink Aluminum 40x40x20', 'quantity': 28, 'unit': 'EA', 'unit_price': 4.23, 'line_total': 118.44}, {'line_id': '6.3', 'description': 'EMI Shielding Gasket 100mm', 'quantity': 40, 'unit': 'EA', 'unit_price': 8.37, 'line_total': 334.8}, {'line_id': '6.4', 'description': 'EMI Shielding Gasket 100mm', 'quantity': 14, 'unit': 'EA', 'unit_price': 6.32, 'line_total': 88.48}]}, {'line_id': 7, 'description': 'Connector USB-C Female PCB', 'quantity': 27, 'unit': 'EA', 'unit_price': 1.35, 'line_total': 36.45}]",SUPPORTED,,,,PAY-135472-00031,DE030539420,,
